Адрес,Метро,Время до метро,Цена,Цена за квадрат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Год постройки,Тип жилья,Высота потолков,Санузел,Вид из окон,Ремонт,Мусоропровод,Количество лифтов,Тип дома,Тип перекрытий,Парковка,Отопление,Балкон/лоджия,Отделка,Этажность здания,Кол-во комнат
"Москва, ЮАО, р-н Чертаново Северное, Сумской проезд, 4К1",Чертановская,12,13500000.0,228426.0,59.1,42.2,6.7,4,1973,Вторичка,2.7,1,Во двор,Косметический,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,9,3
"Москва, ЮЗАО, р-н Северное Бутово, ул. Грина, 18",Улица Старокачаловская,6,19000000.0,292308.0,65.0,38.35,10.0,9,2003,Вторичка,2.64,1,Во двор,Евроремонт,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,2
"Москва, ЮАО, р-н Орехово-Борисово Южное, Каширское ш., 65к2",Домодедовская,3,8800000.0,303448.0,29.0,17.11,4.930000000000001,2,2018,Вторичка,3.0,1,Во двор,Евроремонт,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,20,1
"Москва, ЦАО, р-н Тверской, Тверская ул., 29к1",Маяковская,4,86049480.0,787278.0,109.3,86.0,12.0,4,1912,Вторичка,3.0,2,На улицу и двор,Евроремонт,Да,1,Кирпичный,Нет информации,Открытая,Центральное,1,Неизвестно,6,4
"Москва, СЗАО, р-н Хорошево-Мневники, просп. Маршала Жукова, 17",Народное Ополчение,6,19000000.0,361905.0,52.5,30.3,8.4,8,1983,Вторичка,2.64,1,На улицу и двор,Косметический,Да,2,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,12,2
"Москва, САО, р-н Ховрино, ул. Лавочкина, 34",Речной вокзал,15,46900000.0,390833.0,120.0,70.8,20.400000000000002,4,2002,Вторичка,3.0,1,На улицу,Евроремонт,Да,4,Монолитный,Железобетонные,Подземная,Индивидуальный тепловой пункт,1,Неизвестно,25,3
"Москва, ЮЗАО, р-н Котловка, Севастопольский просп., 13К4",Крымская,13,15000000.0,365854.0,41.0,20.7,8.0,8,2003,Вторичка,2.64,1,На улицу и двор,Дизайнерский,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,14,1
"Москва, ЮАО, р-н Даниловский, Мытная ул., 25",Тульская,11,35000000.0,564516.0,62.0,43.0,10.0,6,1927,Вторичка,3.0,1,Во двор,Дизайнерский,Да,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,6,4
"Москва, ЮАО, р-н Даниловский, Шагал жилой комплекс, 1-я очередь, к3",Нагатинская,18,16349000.0,363311.0,45.0,29.0,8.0,11,2024,Новостройка,2.87,1,На улицу,Косметический,Да,2,Монолитно-кирпичный,Железобетонные,Наземная,Центральное,1,Без отделки,28,2
"Москва, ЮАО, р-н Даниловский, Логос жилой комплекс",Тульская,8,29549000.0,509466.0,58.0,30.0,16.0,7,2024,Новостройка,2.87,1,На улицу,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Без отделки,13,2
"Москва, ВАО, р-н Новогиреево, Федеративный просп., 33",Новогиреево,6,12000000.0,266667.0,45.0,29.0,6.0,4,1970,Вторичка,2.87,1,Во двор,Косметический,Да,0,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,2
"Москва, ЮВАО, р-н Люблино, Люблинская ул., 78к3",Перерва,11,9000000.0,360000.0,25.0,10.0,5.0,21,2020,Вторичка,2.8,1,На улицу,Косметический,Да,4,Монолитный,Железобетонные,Открытая,Центральное,1,Неизвестно,25,1
"Москва, ЗАО, р-н Фили-Давыдково, Кутузовский просп., 69К2",Кунцевская,8,8490000.0,292759.0,29.0,17.0,5.0,1,1960,Вторичка,2.8,1,Во двор,Евроремонт,Да,0,Монолитный,Нет информации,Открытая,Центральное,1,Неизвестно,5,1
"Москва, ЦАО, р-н Замоскворечье, Пятницкая ул., 43С1",Новокузнецкая,6,87000000.0,725000.0,120.0,70.8,20.400000000000002,4,1913,Вторичка,3.2,1,Во двор,Дизайнерский,Да,1,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,5,4
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Маршала Тухачевского, 32К2",Октябрьское поле,6,13100000.0,280514.0,46.7,25.4,10.6,2,1977,Вторичка,2.7,1,Во двор,Евроремонт,Да,2,Монолитный,Нет информации,Открытая,Центральное,1,Неизвестно,16,2
"Москва, ЦАО, р-н Хамовники, Комсомольский просп., 42С2",Спортивная,8,120000000.0,923077.0,130.0,73.0,20.0,6,2014,Вторичка,2.87,2,Во двор,Дизайнерский,Да,1,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,6,3
"Москва, ЦАО, р-н Мещанский, Ботанический пер., 16",Проспект Мира,6,48900000.0,444545.0,110.0,41.7,17.4,6,1999,Вторичка,3.0,1,Во двор,Евроремонт,Да,3,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,22,2
"Москва, СВАО, р-н Ростокино, Сельскохозяйственная ул., 17к4",Ботанический сад,10,9800000.0,350000.0,28.0,28.0,4.760000000000001,4,2024,Вторичка,3.3,1,На улицу,Дизайнерский,Нет,1,Сталинский,Железобетонные,Наземная,Центральное,1,Неизвестно,5,1
"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 8с1",Деловой центр,2,132000000.0,600000.0,220.0,129.79999999999998,37.400000000000006,35,2010,Вторичка,3.0,1,На улицу,Дизайнерский,Да,1,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,75,3
"Москва, ЮВАО, р-н Выхино-Жулебино, Ташкентская ул., 15/22",Юго-Восточная,4,10900000.0,246050.0,44.3,28.8,6.7,5,1968,Вторичка,2.87,1,Во двор,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,10,2
"Москва, ЦАО, р-н Тверской, Трехпрудный пер., 2А",Пушкинская,4,41500000.0,616642.0,67.3,45.1,10.1,3,1908,Вторичка,3.0,1,На улицу и двор,Без ремонта,Да,0,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,3,4
"Москва, ВАО, р-н Ивановское, ш. Энтузиастов, 94К4",Новогиреево,4,9200000.0,248649.0,37.0,19.0,7.0,1,1973,Вторичка,2.64,1,Во двор,Евроремонт,Да,2,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,9,1
"Москва, ЦАО, р-н Хамовники, Олсуфьевский пер., 9к2",Фрунзенская,10,125570000.0,1450000.0,86.6,60.0,10.0,4,2022,Вторичка,2.87,2,Во двор,Дизайнерский,Да,3,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,12,2
"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 8с1",Деловой центр,2,124200000.0,600000.0,207.0,122.13,35.190000000000005,65,2010,Вторичка,3.0,1,На улицу,Дизайнерский,Да,1,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,75,3
"Москва, ЮЗАО, р-н Гагаринский, Ленинский просп., 72/2",Университет,11,25700000.0,443103.0,58.0,37.5,10.0,5,1955,Вторичка,2.87,1,На улицу,Евроремонт,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,10,2
"Москва, ЮВАО, р-н Лефортово, Красноказарменная ул., 15к1",Авиамоторная,11,29168991.0,302583.0,96.4,47.6,31.0,2,2024,Новостройка,2.82,2,Во двор,Косметический,Да,4,Монолитный,Железобетонные,Открытая,Центральное,1,Без отделки,26,3
"Москва, ЮЗАО, р-н Южное Бутово, ул. Поляны, 5",Улица Скобелевская,13,18500000.0,293651.0,63.0,31.0,10.0,23,2018,Вторичка,2.85,1,Во двор,Евроремонт,Да,4,Монолитный,Железобетонные,Подземная,Индивидуальный тепловой пункт,1,Неизвестно,31,2
"Москва, САО, р-н Головинский, Конаковский проезд, 4К1",Водный стадион,10,16500000.0,322896.0,51.1,30.149,5.9,2,1969,Вторичка,2.87,1,На улицу,Косметический,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3
"Москва, ВАО, р-н Соколиная гора, Щербаковская ул., 11",Семёновская,7,16990000.0,319962.0,53.1,32.5,9.4,6,1966,Вторичка,2.5,1,Во двор,Косметический,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,16,2
"Москва, САО, р-н Сокол, Новопесчаная ул., 4К2",Сокол,5,13000000.0,419355.0,31.0,16.0,5.2700000000000005,2,1949,Вторичка,2.87,1,Во двор,Косметический,Да,0,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,4,1
"Москва, СЗАО, р-н Хорошево-Мневники, Причальный проезд, 10А",Фили,4,34000000.0,411622.0,82.6,27.8,35.4,6,2024,Новостройка,2.87,2,Во двор,Косметический,Нет,4,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,33,3
"Москва, СЗАО, р-н Хорошево-Мневники, Причальный проезд, 10А",Шелепиха,8,17990000.0,506761.0,35.5,17.2,10.8,16,2023,Вторичка,3.12,1,Во двор,Без ремонта,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,32,1
"Москва, ЦАО, р-н Басманный, Казарменный пер., 3С6",Курская,9,120000000.0,827586.0,145.0,52.1,45.9,4,2003,Вторичка,3.1,4,На улицу и двор,Евроремонт,Да,2,Монолитный,Нет информации,Подземная,Нет информации,2,Неизвестно,6,4
"Москва, СВАО, р-н Северное Медведково, ул. Грекова, 16",Медведково,3,12350000.0,331989.0,37.2,18.9,9.1,4,2012,Вторичка,2.64,1,Во двор,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,1
"Москва, ЮАО, р-н Орехово-Борисово Южное, Каширское ш., 65К1",Домодедовская,12,20400000.0,323296.0,63.1,30.0,20.0,6,2018,Вторичка,3.0,2,Во двор,Евроремонт,Нет,3,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,20,2
"Москва, ВАО, р-н Северное Измайлово, Щелковское ш., 82К1",Щёлковская,12,19800000.0,244143.0,81.1,46.7,12.4,10,2004,Вторичка,2.74,1,На улицу и двор,Евроремонт,Да,3,Панельный,Железобетонные,Наземная,Центральное,2,Неизвестно,17,3
"Москва, ЦАО, р-н Басманный, Нижняя Красносельская ул., 35С2",Бауманская,9,18900000.0,420000.0,45.0,33.0,7.0,3,2019,Вторичка,4.6,1,Во двор,Евроремонт,Да,2,Кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,7,1
"Москва, ЦАО, р-н Таганский, Волгоградский просп., 20",Волгоградский проспект,12,12750000.0,344595.0,37.0,27.0,5.0,1,1965,Вторичка,2.65,1,На улицу,Евроремонт,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2
"Москва, ЮАО, р-н Даниловский, Подольское ш., 3",Добрынинская,3,17300000.0,494286.0,35.0,15.0,16.0,5,2024,Новостройка,2.87,1,Во двор,Косметический,Да,4,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,13,1
"Москва, ЦАО, р-н Замоскворечье, Летниковская ул.",Павелецкая,7,26400000.0,491620.0,53.7,31.683,15.5,2,2024,Новостройка,2.87,1,На улицу,Косметический,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Без отделки,18,2
"Москва, ЮЗАО, р-н Южное Бутово, бул. Адмирала Ушакова, 8",Улица Скобелевская,2,15290000.0,209452.0,73.0,45.0,10.0,1,1994,Вторичка,2.64,1,На улицу,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,3
"Москва, ЮВАО, р-н Кузьминки, Волгоградский просп.",Волгоградский проспект,3,8400000.0,280000.0,30.0,17.7,5.1000000000000005,23,2024,Новостройка,2.87,1,На улицу и двор,Косметический,Да,3,Монолитный,Железобетонные,Наземная,Центральное,1,Без отделки,23,1
"Москва, ЦАО, р-н Тверской, Петровский бул., 15С1",Трубная,7,73000000.0,742625.0,98.3,78.0,10.0,2,1889,Вторичка,3.0,2,На улицу и двор,Евроремонт,Да,2,Кирпичный,Нет информации,Открытая,Центральное,1,Неизвестно,7,4
"Москва, ЦАО, р-н Хамовники, ул. Усачева, 15кБ",Спортивная,8,550000000.0,1408126.0,390.59,230.44809999999998,66.4003,14,2024,Вторичка,2.87,4,На улицу и двор,Без ремонта,Да,2,Монолитно-кирпичный,Железобетонные,Многоуровневая,Центральное,1,Неизвестно,15,1
"Москва, СВАО, р-н Ростокино, просп. Мира, 179А",Ростокино,11,10500000.0,259259.0,40.5,25.2,5.4,5,1962,Вторичка,2.5,1,Во двор,Косметический,Нет,1,Кирпичный,Железобетонные,Открытая,Центральное,1,Неизвестно,5,2
"Москва, СВАО, р-н Бутырский, ул. Яблочкова, 37В",Фонвизинская,10,10200000.0,291429.0,35.0,18.0,9.0,5,1982,Вторичка,2.87,1,На улицу,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,16,1
"Москва, ВАО, р-н Преображенское, Большая Черкизовская ул., 8К2",Преображенская площадь,6,13500000.0,303371.0,44.5,28.0,6.0,3,1964,Вторичка,2.64,1,Во двор,Косметический,Да,0,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,5,2
"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 40к1",Шелепиха,5,18900000.0,508065.0,37.2,15.7,13.7,35,2023,Вторичка,3.1,1,На улицу и двор,Без ремонта,Да,4,Монолитный,Железобетонные,Многоуровневая,Центральное,1,Неизвестно,43,1
"Москва, ЦАО, р-н Таганский, Саринский проезд, 2",Крестьянская застава,9,17000000.0,410628.0,41.4,21.6,9.0,4,1945,Вторичка,3.2,1,Во двор,Косметический,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,1
"Москва, ВАО, р-н Гольяново, Амурская ул., 76",Щёлковская,5,23000000.0,306667.0,75.0,43.7,13.0,12,2010,Вторичка,2.74,1,Во двор,Дизайнерский,Да,2,Панельный,Железобетонные,Наземная,Центральное,2,Неизвестно,14,3
"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 39",Арбатская,7,64000000.0,627451.0,102.0,52.7,17.34,2,1979,Вторичка,2.87,2,Во двор,Без ремонта,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3
"Москва, ЦАО, р-н Басманный, Доброслободская ул., 4",Бауманская,11,15000000.0,388601.0,38.6,23.7,6.0,8,1972,Вторичка,2.6,1,Во двор,Косметический,Да,2,Кирпичный,Железобетонные,Открытая,Центральное,1,Неизвестно,12,2
"Москва, ЮВАО, р-н Текстильщики, Волжский бул., 8к2",Текстильщики,16,11990000.0,236489.0,50.7,20.0,12.0,8,2008,Вторичка,2.87,1,Во двор,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,16,1
"Москва, ЮАО, р-н Даниловский, Дубининская ул., 59А",Павелецкая,20,29000000.0,439394.0,66.0,29.0,22.0,7,2023,Вторичка,3.0,2,На улицу и двор,Без ремонта,Да,4,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,46,3
"Москва, ЮЗАО, р-н Котловка, Большая Черемушкинская ул., 11К1",Крымская,10,15000000.0,270758.0,55.4,40.7,5.6,4,1966,Вторичка,2.6,1,Во двор,Без ремонта,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,9,3
"Москва, ВАО, р-н Метрогородок, Лосиноостровский Парк жилой комплекс, к2/1",Бульвар Рокоссовского,3,12500000.0,357143.0,35.0,11.0,16.0,11,2024,Новостройка,2.87,1,Во двор,Косметический,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Чистовая,33,1
"Москва, ЮАО, р-н Нагатино-Садовники, Нагатинская наб., 10к3",Коломенская,18,26000000.0,369318.0,70.4,41.536,24.0,4,2013,Вторичка,2.8,2,Во двор,Дизайнерский,Да,4,Монолитный,Железобетонные,Наземная,Центральное,2,Неизвестно,12,2
"Москва, ЮАО, р-н Даниловский, 2-й Кожевнический пер., 10/11",Павелецкая,13,14000000.0,328638.0,42.6,25.134,7.242000000000001,3,1860,Вторичка,2.87,1,Во двор,Косметический,Да,0,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,4,2
"Москва, ЦАО, р-н Таганский, Большой Факельный пер., 9/11",Марксистская,7,17000000.0,513595.0,33.1,16.8,7.5,4,1914,Вторичка,3.3,1,Во двор,Косметический,Нет,1,Блочный,Железобетонные,Наземная,Центральное,1,Неизвестно,6,1
"Москва, ЦАО, р-н Мещанский, Олимпийский просп., 10к1-2",Цветной бульвар,9,46000000.0,592021.0,77.7,28.5,31.0,6,1985,Вторичка,3.0,2,На улицу и двор,Косметический,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,10,2
"Москва, ВАО, р-н Вешняки, ул. Молдагуловой, 30",Выхино,13,8300000.0,251515.0,33.0,18.7,6.7,6,1971,Вторичка,2.64,1,Во двор,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,1
"Москва, СВАО, р-н Северное Медведково, Широкая ул., 30к1",Медведково,14,27000000.0,336658.0,80.2,39.1,16.0,12,2018,Вторичка,2.87,1,На улицу,Косметический,Да,3,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,3
"Москва, ЮЗАО, р-н Ясенево, Ясногорская ул., 21К2",Ясенево,9,16200000.0,284211.0,57.0,31.0,10.0,12,1984,Вторичка,2.87,1,На улицу,Без ремонта,Да,3,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,22,2
"Москва, САО, р-н Беговой, Верхняя ул., 22",Белорусская,9,55000000.0,1000000.0,55.0,20.0,20.0,7,2019,Вторичка,3.6,1,Во двор,Без ремонта,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,1
"Москва, ЗАО, р-н Филевский парк, Большая Филевская ул., 3к3",Фили,9,30600000.0,546429.0,56.0,33.0,18.0,6,2022,Вторичка,2.87,1,Во двор,Дизайнерский,Нет,3,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,20,3
"Москва, СЗАО, р-н Хорошево-Мневники, 3-я Хорошевская ул., 17А",Народное Ополчение,18,16050000.0,371528.0,43.2,25.488,16.3,3,2023,Вторичка,3.0,1,На улицу,Без ремонта,Да,3,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,21,1
"Москва, СВАО, р-н Северное Медведково, проезд Шокальского, 59К2",Медведково,6,12800000.0,289593.0,44.2,33.2,6.0,2,1969,Вторичка,2.65,1,На улицу и двор,Косметический,Да,1,Монолитный,Нет информации,Открытая,Центральное,1,Неизвестно,9,2
"Москва, ЦАО, р-н Пресненский, Никитский бул., 12",Арбатская,6,156000000.0,1190840.0,131.0,88.0,18.0,6,1914,Вторичка,3.0,2,На улицу и двор,Косметический,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,7,4
"Москва, СВАО, р-н Алтуфьевский, Инженерная ул., 9",Бескудниково,9,10000000.0,225225.0,44.4,26.195999999999998,6.0,9,1970,Вторичка,2.64,1,Во двор,Без ремонта,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2
"Москва, СВАО, р-н Останкинский, Березовая аллея, 19к1",Ботанический сад,24,12500000.0,254065.0,49.2,31.5,11.0,4,2023,Вторичка,3.0,1,Во двор,Без ремонта,Да,4,Монолитно-кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,18,2
"Москва, СВАО, р-н Южное Медведково, Полярная ул., 17К2",Бабушкинская,5,11500000.0,307487.0,37.4,18.9,9.2,5,2012,Вторичка,2.87,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,14,1
"Москва, СВАО, р-н Бибирево, ул. Корнейчука, 43",Бибирево,4,10150000.0,198242.0,51.2,30.0,8.2,10,1981,Вторичка,2.64,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,16,2
"Москва, ЮАО, р-н Чертаново Центральное, Чертановская ул., 36К1",Пражская,12,13000000.0,220339.0,59.0,44.0,6.0,1,1975,Вторичка,2.87,1,Во двор,Евроремонт,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3
"Москва, САО, р-н Хорошевский, ул. Зорге",Полежаевская,18,27700000.0,359740.0,77.0,49.4,12.3,7,2024,Новостройка,2.87,1,Во двор,Косметический,Да,3,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,21,3
"Москва, ЦАО, р-н Тверской, Тверская ул., 28к1",Тверская,6,120000000.0,588235.0,204.0,100.0,12.7,5,1914,Вторичка,4.0,3,На улицу и двор,Дизайнерский,Да,1,Кирпичный,Железобетонные,Наземная,Индивидуальный тепловой пункт,1,Неизвестно,7,4
"Москва, ВАО, р-н Восточное Измайлово, 12-я Парковая ул., 5",Первомайская,12,21000000.0,319635.0,65.7,51.0,12.0,5,2024,Вторичка,3.5,2,На улицу,Дизайнерский,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,2
"Москва, ЮВАО, р-н Марьино, ул. Маршала Голованова, 11",Марьино,12,13400000.0,230637.0,58.1,34.0,11.0,1,1985,Вторичка,2.87,1,На улицу и двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,2
"Москва, ЦАО, р-н Замоскворечье, Летниковская ул.",Павелецкая,7,26450000.0,489815.0,54.0,31.86,9.180000000000001,2,2024,Новостройка,2.87,1,На улицу,Косметический,Да,4,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,18,3
"Москва, ЗАО, р-н Дорогомилово, Студенческая ул., 35",Студенческая,7,28990000.0,257918.0,112.4,66.316,10.0,2,1936,Вторичка,3.3,1,Во двор,Косметический,Да,0,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,5,4
"Москва, ВАО, р-н Новогиреево, Зеленый просп., 87К2",Новогиреево,6,12500000.0,328947.0,38.0,23.4,6.3,11,1967,Вторичка,2.5,1,Во двор,Косметический,Да,2,Блочный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,2
"Москва, ЮВАО, р-н Люблино, ул. Марьинский Парк, 35",Люблино,25,10000000.0,257069.0,38.9,20.9,8.7,6,2003,Вторичка,2.64,1,На улицу,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,10,1
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Маршала Тухачевского, 32К2",Октябрьское поле,18,13500000.0,289079.0,46.7,25.4,10.6,2,1977,Вторичка,2.87,1,Во двор,Косметический,Да,2,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,16,1
"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 81/2с3",Тушинская,5,13500000.0,295405.0,45.7,26.963,7.769000000000001,17,2022,Вторичка,3.3,1,Во двор,Без ремонта,Нет,3,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,28,2
"Москва, ЮАО, р-н Чертаново Северное, Балаклавский просп., 15",Чертановская,12,14800000.0,336364.0,44.0,20.0,17.0,2,2021,Вторичка,2.8,1,Во двор,Без ремонта,Да,4,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,19,1
"Москва, ЮВАО, р-н Люблино, ул. Судакова, 24",Люблино,7,14000000.0,241796.0,57.9,34.160999999999994,9.843,1,1960,Вторичка,2.87,1,Во двор,Косметический,Да,0,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,3
"Москва, СВАО, р-н Бутырский, ул. Милашенкова, 10",Фонвизинская,5,17100000.0,271429.0,63.0,45.0,6.5,12,1980,Вторичка,2.7,1,На улицу и двор,Косметический,Да,2,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,12,3
"Москва, САО, р-н Беговой, Бумажный проезд, 4",Белорусская,13,47000000.0,500000.0,94.0,55.459999999999994,15.98,5,2020,Вторичка,2.87,2,Во двор,Дизайнерский,Да,2,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,20,3
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 22с2",Тестовская,3,94500000.0,700000.0,135.0,79.64999999999999,22.950000000000003,42,2020,Вторичка,3.9,1,На улицу,Дизайнерский,Да,4,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,78,3
"Москва, СЗАО, р-н Покровское-Стрешнево, Северо-Западный административный округ",Сходненская,4,8950000.0,418224.0,21.4,12.625999999999998,3.638,9,2024,Новостройка,2.87,1,Во двор,Косметический,Да,4,Монолитный,Железобетонные,Подземная,Центральное,1,Чистовая,19,1
"Москва, СЗАО, р-н Хорошево-Мневники, 3-я Хорошевская ул., 17А",Народное Ополчение,18,20950000.0,403661.0,51.9,30.621,13.1,13,2023,Вторичка,3.0,2,Во двор,Без ремонта,Да,3,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,21,2
"Москва, ЮЗАО, р-н Теплый Стан, Профсоюзная ул., 140К1",Коньково,11,12000000.0,363636.0,33.0,18.0,6.0,3,1972,Вторичка,2.64,1,На улицу,Дизайнерский,Да,1,Монолитный,Железобетонные,Открытая,Центральное,1,Неизвестно,9,1
"Москва, ЦАО, р-н Таганский, Международная ул., 13",Римская,2,24700000.0,311083.0,79.4,54.0,8.0,2,1955,Вторичка,2.6,1,На улицу и двор,Косметический,Да,0,Монолитный,Железобетонные,Открытая,Центральное,1,Неизвестно,5,3
"Москва, САО, р-н Беговой, Ленинградский просп., 8С10",Белорусская,4,37500000.0,750000.0,50.0,35.0,10.0,5,2024,Вторичка,2.87,1,Во двор,Без ремонта,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,15,2
"Москва, ЮАО, р-н Нагорный, Электролитный проезд, 7К2",Нагорная,7,23500000.0,489583.0,48.0,13.0,21.0,8,2024,Вторичка,2.87,1,Во двор,Косметический,Да,3,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,26,1
"Москва, Ермолаевский пер., 11",Маяковская,8,65000000.0,684211.0,95.0,56.05,16.150000000000002,3,1900,Вторичка,2.87,2,Во двор,Косметический,Нет,0,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,3,4
"Москва, САО, р-н Аэропорт, Северный административный округ, ул. 8 Марта, 11",Гражданская,7,16500000.0,266990.0,61.8,39.3,6.1,9,1968,Вторичка,2.64,1,Во двор,Без ремонта,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3
"Москва, СВАО, р-н Останкинский, просп. Мира, 95",Алексеевская,4,50508954.0,444230.0,113.7,67.083,19.329,6,2024,Новостройка,2.87,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,15,3
"Москва, СВАО, р-н Останкинский, просп. Мира, 95",Алексеевская,4,53415837.0,454603.0,117.5,69.325,19.975,9,2024,Новостройка,2.87,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,15,3
"Москва, ЮЗАО, р-н Теплый Стан, ул. Академика Виноградова, 9",Тропарёво,8,47000000.0,447619.0,105.0,58.6,14.5,6,2013,Вторичка,3.0,2,Во двор,Дизайнерский,Да,2,Кирпичный,Железобетонные,Наземная,Индивидуальный тепловой пункт,1,Неизвестно,16,3
"Москва, ЮАО, р-н Братеево, ул. Борисовские Пруды, 44",Алма-Атинская,19,12500000.0,239923.0,52.1,30.3,8.7,1,1986,Вторичка,2.64,1,На улицу и двор,Евроремонт,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,14,2
