Адрес,Метро,Время до метро,Цена,Цена за квадрат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Год постройки,Тип жилья,Высота потолков,Санузел,Вид из окон,Ремонт,Мусоропровод,Количество лифтов,Тип дома,Тип перекрытий,Парковка,Отопление,Балкон/лоджия,Отделка,Этажность здания,Кол-во комнат
"Москва, ЦАО, р-н Мещанский, Варсонофьевский пер., 6",Кузнецкий мост,4,149183250.0,668983.0,223.0,140.0,20.0,5,1896,Вторичка,2.87,3,На улицу и двор,Евроремонт,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,5
"Москва, ЦАО, р-н Тверской, ул. Петровка, 26С3",Трубная,7,25000000.0,925926.0,27.0,15.93,4.590000000000001,4,1876,Вторичка,2.87,1,На улицу и двор,Дизайнерский,Да,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,5,1
"Москва, ЦАО, р-н Пресненский, Никитский бул., 12",Арбатская,6,53194224.0,880699.0,60.4,39.0,9.0,2,1914,Вторичка,3.0,2,Во двор,Дизайнерский,Нет,2,Монолитный,Нет информации,Открытая,Центральное,1,Неизвестно,7,2
"Москва, ЦАО, р-н Пресненский, Калашный пер., 4",Александровский сад,7,119346600.0,631463.0,189.0,100.0,20.0,2,1914,Вторичка,2.87,2,На улицу и двор,Евроремонт,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,7,4
"Москва, ЦАО, р-н Басманный, Большой Златоустинский пер., 3АС2",Лубянка,4,37300000.0,459360.0,81.2,51.0,8.0,1,1934,Вторичка,2.87,1,Во двор,Евроремонт,Да,1,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,8,3
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 22",Арбатская,13,50000000.0,939850.0,53.2,35.0,10.0,10,1968,Вторичка,2.87,2,На улицу,Дизайнерский,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,24,2
"Москва, ЦАО, р-н Басманный, Большой Златоустинский пер., 3АС2",Китай-город,6,19000000.0,760000.0,25.0,7.5,4.0,1,1934,Вторичка,3.0,1,Во двор,Евроремонт,Да,0,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,5,1
"Москва, ЦАО, р-н Мещанский, ул. Кузнецкий Мост, 12/3С1",Кузнецкий мост,3,508175000.0,2500000.0,203.27,119.9293,34.5559,5,2024,Новостройка,2.87,3,На улицу,Косметический,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Без отделки,6,4
"Москва, ЦАО, р-н Пресненский, Никитский бул., 12",Арбатская,6,199000000.0,1124294.0,177.0,134.0,25.0,3,1914,Вторичка,3.2,3,Во двор,Евроремонт,Нет,2,Монолитный,Нет информации,Открытая,Центральное,1,Неизвестно,7,5
"Москва, ЦАО, р-н Тверской, ул. Петровка, 26С3",Трубная,7,54000000.0,912316.0,59.19,34.9221,10.0623,5,1876,Вторичка,3.64,2,Во двор,Дизайнерский,Нет,2,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,5,2
"Москва, ЦАО, р-н Тверской, Тверская ул., 12С7",Тверская,5,69999000.0,349995.0,200.0,126.0,23.0,6,1917,Вторичка,3.6,6,На улицу и двор,Косметический,Нет,2,Кирпичный,Нет информации,Открытая,Центральное,1,Неизвестно,6,5
"Москва, ЦАО, р-н Басманный, ул. Маросейка, 11/4С1",Китай-город,3,199750000.0,2500000.0,79.9,47.141,13.583000000000002,3,1917,Вторичка,7.5,1,Во двор,Дизайнерский,Да,0,Кирпичный,Смешанные,Наземная,Центральное,1,Неизвестно,3,2
"Москва, ЦАО, р-н Якиманка, Лаврушинский пер., 11к1",Третьяковская,6,213265000.0,850000.0,250.9,137.2,42.653000000000006,6,2007,Вторичка,2.87,3,На улицу и двор,Без ремонта,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,7,4
"Москва, ЦАО, р-н Мещанский, Садовая-Сухаревская ул., 13/15",Цветной бульвар,7,75000000.0,1518219.0,49.4,29.145999999999997,8.398,5,1960,Вторичка,2.87,1,Во двор,Косметический,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,2
"Москва, ЦАО, р-н Пресненский, пер. Брюсов, 2/14С2",Библиотека им. Ленина,7,139237700.0,1351822.0,103.0,60.769999999999996,17.51,1,1914,Вторичка,2.87,2,Во двор,Евроремонт,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,2
"Москва, ЦАО, р-н Тверской, пер. Брюсов, 19",Тверская,7,994555000.0,2173891.0,457.5,269.925,77.775,7,2007,Вторичка,2.87,4,Во двор,Дизайнерский,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,5
"Москва, ЦАО, р-н Тверской, ул. Петровка, 28",Чеховская,5,90000000.0,750000.0,120.0,70.8,20.400000000000002,3,1900,Вторичка,2.87,2,На улицу и двор,Дизайнерский,Да,0,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,3,3
"Москва, ЦАО, р-н Пресненский, пер. Брюсов, 17",Охотный ряд,7,220000000.0,1466667.0,150.0,88.5,60.0,6,1928,Вторичка,2.87,2,На улицу и двор,Дизайнерский,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,8,3
"Москва, ЦАО, р-н Басманный, ул. Маросейка, 11/4С1",Китай-город,5,107000000.0,993500.0,107.7,70.0,15.0,1,1917,Вторичка,7.7,2,Во двор,Дизайнерский,Нет,0,Кирпичный,Смешанные,Наземная,Центральное,1,Неизвестно,3,2
"Москва, ЦАО, р-н Басманный, ул. Маросейка, 11/4С1",Китай-город,5,52100000.0,1000000.0,52.1,30.0,10.0,3,1917,Вторичка,7.7,1,На улицу и двор,Дизайнерский,Нет,1,Кирпичный,Смешанные,Наземная,Центральное,1,Неизвестно,3,2
"Москва, ЦАО, р-н Тверской, ул. Петровка, 26С3",Трубная,8,27000000.0,1000000.0,27.0,13.0,5.0,4,1876,Вторичка,3.2,1,Во двор,Косметический,Да,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,5,1
"Москва, ЦАО, р-н Мещанский, Малая Сухаревская пл., 3",Сухаревская,5,19500000.0,557143.0,35.0,19.0,6.0,4,1951,Вторичка,2.87,1,Во двор,Без ремонта,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,1
"Москва, ЦАО, р-н Пресненский, пер. Брюсов, 2/14С2",Охотный ряд,9,59500000.0,928237.0,64.1,40.8,9.2,3,1914,Вторичка,2.87,1,Во двор,Косметический,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,6,2
"Москва, ЦАО, р-н Хамовники, Гоголевский бул., 8",Кропоткинская,1,27000000.0,771429.0,35.0,14.0,17.0,5,1931,Вторичка,2.87,1,Во двор,Дизайнерский,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,2
"Москва, ЦАО, р-н Тверской, Газетный пер., 13",Охотный ряд,6,99970000.0,666467.0,150.0,100.0,20.0,13,1956,Вторичка,3.2,3,Во двор,Евроремонт,Да,2,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,14,3
"Москва, ЦАО, р-н Пресненский, пер. Брюсов, 2/14С2",Охотный ряд,10,80000000.0,761905.0,105.0,70.0,15.0,1,1914,Вторичка,3.3,2,На улицу и двор,Евроремонт,Нет,2,Кирпичный,Железобетонные,Открытая,Центральное,1,Неизвестно,6,2
"Москва, ЦАО, р-н Арбат, ул. Малая Молчановка, 6",Арбатская,9,136000000.0,1014925.0,134.0,107.0,22.78,2,1910,Вторичка,2.87,2,На улицу и двор,Евроремонт,Да,0,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,4,3
