Vremja_do_metro,Obschaja_ploschad,Zhilaja_ploschad,Ploschad_kuhni,Etazh,God_postrojki,Tip_zhilja,Vysota_potolkov,Sanuzel,Vid_iz_okon,Remont,Musoroprovod,Kolichestvo_liftov,Tip_doma,Tip_perekrytij,Parkovka,Otoplenie,Balkonlodzhija,Otdelka,Etazhnost_zdanija,Kolvo_komnat,shirota_doma,dolgota_doma,Rasstojanie_do_tsentra,Rasstojanie_do_metro,Okrug,Tsena_za_kvadrat_log
6,32.7,18.9,6.2,7,1966,Вторичка,2.64,1,Во двор,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,1,55.716417,37.776565,10.61113366815491,0.3849270504268006,ЮВАО,12.589898641034855
7,61.6,42.7,7.9,1,1929,Вторичка,2.8,1,Во двор,Без ремонта,Да,0,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,4,4,55.786713,37.598573,3.947503634156923,0.5508303812156375,ЦАО,12.639289098169163
4,54.6,37.3,5.5,3,1961,Вторичка,2.7,1,Во двор,Евроремонт,Да,0,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,3,55.732656,37.673492,4.036215473462599,0.4733237389957495,ЮВАО,12.733247882973256
4,65.0,38.35,11.05,19,2024,Новостройка,2.87,2,Во двор,Косметический,Да,3,Монолитный,Железобетонные,Наземная,Центральное,1,Чистовая,24,2,55.696905,37.624301,6.3150281320876775,2.3976198385817376,ЮАО,12.723034404652013
11,39.5,23.305,6.715000000000001,3,2024,Вторичка,2.87,1,Во двор,Дизайнерский,Да,0,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,4,1,55.783904,37.738054,8.083031112290628,0.6215364475944305,ВАО,12.479380654335237
14,72.0,30.0,15.0,7,2022,Вторичка,3.3,2,На улицу и двор,Без ремонта,Да,1,Монолитный,Железобетонные,Подземная,Центральное,2,Неизвестно,9,3,55.689238,37.653676,7.453181646376058,0.8545326114475813,ЮАО,12.998311483451046
6,73.5,53.0,8.0,6,1927,Вторичка,2.87,1,На улицу,Евроремонт,Да,1,Кирпичный,Смешанные,Наземная,Центральное,1,Неизвестно,6,3,55.725615,37.632817,3.2019657590677992,0.5196266322111266,ЮАО,12.868128975862158
10,37.7,22.243000000000002,7.4,6,1963,Вторичка,2.87,1,На улицу,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2,55.677255,37.626618,8.506690043784516,0.7227634525802712,ЮАО,12.537227196863173
14,53.7,13.0,25.4,41,2018,Вторичка,2.8,1,Во двор,Дизайнерский,Нет,8,Монолитный,Железобетонные,Многоуровневая,Центральное,1,Неизвестно,47,2,55.802462,37.591934,5.738933684709099,0.8805321062501922,СВАО,12.918583631627916
19,50.5,26.1,11.0,12,2023,Вторичка,3.0,1,На улицу и двор,Евроремонт,Нет,3,Монолитно-кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,22,3,55.69727,37.62466,6.275191195426328,0.8821250456038228,ЮАО,12.913963107826822
12,105.0,63.0,14.0,6,2024,Новостройка,2.97,1,Во двор,Косметический,Да,1,Монолитный,Железобетонные,Подземная,Центральное,1,Чистовая,11,3,55.651328,37.633284,11.412071479483249,0.9686838808425954,ЮАО,12.810842061472492
15,42.5,18.4,10.2,20,2006,Вторичка,2.8,1,Во двор,Евроремонт,Да,3,Монолитный,Железобетонные,Открытая,Центральное,1,Неизвестно,23,1,55.713933,37.754709,9.488018137665982,1.1861135408096488,ЮВАО,12.59970468487926
3,37.0,24.0,6.0,8,1958,Вторичка,2.87,1,Во двор,Дизайнерский,Да,1,Блочный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,2,55.688314,37.57616,7.7959874634865916,0.19126181471398915,ЮЗАО,13.031906799793314
10,25.5,18.0,6.0,10,1965,Вторичка,2.9,1,Во двор,Косметический,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,10,1,55.785083,37.58915,4.036648103178392,0.7080687268415081,ЦАО,12.848957578938013
4,59.2,34.928,10.064000000000002,19,2024,Новостройка,3.0,1,Во двор,Косметический,Да,3,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,20,3,55.749902,37.516719,6.562864113493301,0.4515298887391972,ЗАО,12.96200916204488
8,517.86,309.0,59.0,14,2024,Вторичка,2.87,4,На улицу и двор,Без ремонта,Да,2,Монолитно-кирпичный,Железобетонные,Многоуровневая,Центральное,1,Неизвестно,15,1,55.726796,37.57024,4.36807583411352,0.5448114097679929,ЦАО,14.165676464003145
